"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","09/17/05","17","MCCARTHY","KIP","2","7","0","7","0","","","","","","","2","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/22/05","17","MCCARTHY","KIP","2","13","0","13","0","","","","","","","2","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/29/05","17","MCCARTHY","KIP","4","17","0","17","0","","","","","","","4","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/15/05","17","MCCARTHY","KIP","1","3","0","3","0","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/05","17","MCCARTHY","KIP","3","16","0","16","0","","","","","","","3","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","17","MCCARTHY","KIP","3","19","0","19","0","","","","","","","3","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/05","91","MCMENOMY","ROBERT","","","","","","","","","","","","0","0","1","38","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/19/05","91","MCMENOMY","ROBERT","","","","","","","","","","","","0","0","1","17","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/15/05","36","MEISSEN","BRAD","","","","","","","","","","","","0","0","","","","","","","","","","","","1","0","0","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/05","36","MEISSEN","BRAD","","","","","","","","","","","","0","0","","","","1","10","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/05","15","OLLIS","JIM","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","17","0","","","","","","","","","","","","","0"
"721","Air Force","09/10/05","15","OLLIS","JIM","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","9","0","","","","","","","","","","","","","0"
"721","Air Force","09/17/05","15","OLLIS","JIM","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","15","0","","","","","","","","","","","","","0"
"721","Air Force","09/22/05","15","OLLIS","JIM","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","2","40","0","","","","","","","","","","","","","0"
"721","Air Force","10/08/05","15","OLLIS","JIM","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","42","0","","","","","","","","","","","","","0"
"721","Air Force","10/15/05","15","OLLIS","JIM","3","9","1","8","1","","","","","","","3","8","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/22/05","15","OLLIS","JIM","2","8","0","8","0","","","","","","","2","8","","","","","","","","","","","","","","","2","29","0","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","15","OLLIS","JIM","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","2","56","0","","","","","","","","","","","","","0"
"721","Air Force","11/05/05","15","OLLIS","JIM","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","13","0","","","","","","","","","","","","","0"
"721","Air Force","11/19/05","19","PAFFETT","TY","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/15/05","40","PEEPLES","SCOTT","4","40","0","40","1","","","","","","","4","40","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/22/05","40","PEEPLES","SCOTT","7","34","0","34","0","","","","","","","7","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","39","RYBAK","GARRETT","","","","","","","","","","","","0","0","","","","","","","","","","","","0","28","1","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/03/05","24","SMITH","CHAD","1","7","0","7","0","","","","","","","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/05","24","SMITH","CHAD","5","30","0","30","0","","","","","","","5","30","","","","","","","","","","","","","","","1","13","0","","","","","","","","","","","","","0"
"721","Air Force","09/17/05","24","SMITH","CHAD","6","40","0","40","0","","","","","","","6","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/22/05","24","SMITH","CHAD","5","23","0","23","0","","","","","","","5","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/29/05","24","SMITH","CHAD","2","35","0","35","1","","","","","","","2","35","2","11","0","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/08/05","24","SMITH","CHAD","3","14","0","14","0","","","","","","","3","14","1","8","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/15/05","24","SMITH","CHAD","3","18","1","17","0","","","","","","","3","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/05","24","SMITH","CHAD","2","0","3","-3","0","","","","","","","2","-3","2","41","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/05","24","SMITH","CHAD","2","3","0","3","0","","","","","","","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/05/05","24","SMITH","CHAD","2","13","0","13","0","","","","","","","2","13","3","29","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/05","24","SMITH","CHAD","3","11","0","11","0","","","","","","","3","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/15/05","22","SUDER","BEAU","1","4","0","4","0","","","","","","","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/05","22","SUDER","BEAU","1","7","0","7","0","","","","","","","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/05","6","SUTTON","CHRIS","","","","","","","","","","","","0","0","","","","","","","","","","","","2","13","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/05","6","SUTTON","CHRIS","","","","","","","","","","","","0","0","","","","","","","","","","","","1","12","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/17/05","6","SUTTON","CHRIS","","","","","","","","","","","","0","0","","","","","","","","","","","","2","22","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/22/05","6","SUTTON","CHRIS","","","","","","","","","","","","0","0","","","","","","","","","","","","2","19","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/29/05","6","SUTTON","CHRIS","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","1","18","0","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/05","6","SUTTON","CHRIS","","","","","","","","","","","","0","0","","","","","","","","","","","","2","3","0","","","","","","","","","","","","","","","","0"
"721","Air Force","10/15/05","6","SUTTON","CHRIS","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","2","32","0","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/05","6","SUTTON","CHRIS","","","","","","","","","","","","0","0","","","","","","","","","","","","1","3","0","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/05","6","SUTTON","CHRIS","","","","","","","","","","","","0","0","","","","","","","","","","","","3","28","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/03/05","81","THOMPSON","VICTOR","","","","","","","","","","","","0","0","1","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
